id,sekolah,lintang,bujur
1,SMK Negeri 1 Denpasar,-8.637758,115.207588
2,SMK Negeri 2 Denpasar,-8.703324,115.228481
3,SMK Negeri 3 Denpasar,-8.700443,115.253149
4,SMK Negeri 4 Denpasar,-8.658242,115.233540
5,SMK Negeri 5 Denpasar,-8.647153,115.226482
6,SMA Negeri 1 Denpasar,-8.653748,115.225671
7,SMA Negeri 2 Denpasar,-8.676965,115.218279
8,SMA Negeri 3 Denpasar,-8.650726,115.231656
9,SMA Negeri 4 Denpasar,-8.664249,115.199441
10,SMA Negeri 5 Denpasar,-8.704667,115.228791
11,SMA Negeri 6 Denpasar,-8.679113,115.249922
12,SMA Negeri 7 Denpasar,-8.651444,115.225237
13,SMA Negeri 8 Denpasar,-8.598452,115.223237
